epoch,lr,train_loss,train_loss_cat,train_loss_pay,train_loss_num,grad_norm_mean,grad_norm_max,masked_mean,val_loss,val_loss_cat,val_loss_pay,val_loss_num,epoch_s
1,5.9999999999999995e-05,10.337513743377313,1.9305780239221526,1.8541210540911046,6.552814692985721,99.49977376984387,183.35641479492188,842.2439024390244,3.8126870923572116,1.0594535536236234,1.1693516770998638,1.5838818649450939,5.455403700005263
2,0.00011999999999999999,6.130319961687413,1.3123871640461247,1.172020583617978,3.64591226926664,37.876647553792814,67.87102508544922,842.2073170731708,2.288011325730218,0.8484998676511977,0.6470547285344865,0.7924567560354868,5.046159700003045
3,0.00017999999999999998,4.357361560914574,1.1385915228506414,0.8345002422972423,2.384269791405375,24.398905847130752,35.3726921081543,844.5731707317074,2.2694877319865756,0.8171766665246751,0.5559901197751363,0.8963209903902478,5.1353304000003845
4,0.00023999999999999998,3.41596118996783,0.9969375904013471,0.7062286203954278,1.7127949769903974,17.507486785330425,29.07997703552246,840.0121951219512,1.9674357440736558,0.8143209020296732,0.47626673844125533,0.6768481002913581,5.129703399994469
5,0.0003,2.8023042126399713,0.9408839046955109,0.6018014564746763,1.2596188565579856,13.338031419893591,20.887998580932617,840.8048780487804,1.8380583657158747,0.8085129426585304,0.4232013358010186,0.606344097190433,5.121966600003361
6,0.0002996382614635839,2.468987168335333,0.9104175305948025,0.5178353710145485,1.0407342816271432,10.285645740788157,16.613393783569336,843.6341463414634,1.7208006779352825,0.8085615568690829,0.37818217939800686,0.5340569482909309,5.35391030000028
7,0.0002985548082081232,2.358497744653283,0.8706638311467519,0.4502076146806159,1.0376262897398414,8.658435036496419,20.57353401184082,840.5731707317074,1.961499101585812,0.8123571707142724,0.31973375214470756,0.8294081911444664,5.011764299997594
8,0.0002967549187089701,2.2169793320865168,0.8666931528870653,0.39890361486411674,0.9513825661525493,7.861040760831135,14.332685470581055,839.219512195122,1.6739224394162495,0.8118119339148203,0.2895143926143646,0.5725960979859034,4.964056400000118
9,0.00029424736184684034,2.090458928084955,0.8331562135277725,0.361076031152795,0.896226671047327,6.901724449018153,13.660935401916504,841.4878048780488,1.5504923462867737,0.7904626561535729,0.2613741258780162,0.4986555551489194,4.886719100002665
10,0.0002910443541867074,2.0492915700121626,0.8445800004935846,0.33417258102719377,0.8705389946699142,6.402048244708922,9.80184268951416,840.0121951219512,1.6754823591974046,0.7951053414079878,0.26350217229790157,0.6168748570813073,5.257964399999764
11,0.0002871615004599262,1.8981322355386687,0.8316420876398319,0.3192413536513724,0.7472487924302497,5.745837985015497,10.773340225219727,839.560975609756,1.5687337319056194,0.7808958490689596,0.24508950279818642,0.5427483725878928,4.99078549999831
12,0.00028261771753955065,1.9057043354685714,0.8279294575132975,0.3066798926490109,0.7710949898492999,5.435823202133179,8.667159080505371,838.7439024390244,1.4648345841301813,0.7805581721994612,0.23492004970709482,0.4493563522895177,5.294326499999443
13,0.0002774351422792292,1.8719180444391763,0.825633539659221,0.29342964109851094,0.7528548647717732,5.197824074000847,13.20849895477295,844.0243902439024,1.4686770704057481,0.7735942271020677,0.2325413930747244,0.46254144195053315,5.141770700000052
14,0.00027163902366467965,1.769409278543984,0.8166210069888975,0.2899374923691517,0.6628507920881597,4.9406880750888735,8.08743953704834,843.3414634146342,1.7677297857072618,0.777060995499293,0.2256874011622535,0.7649814064304034,5.1228593999985605
15,0.0002652575998031682,1.7855940490234188,0.8110742532625431,0.28069103272949775,0.69382875957867,4.57227389114659,9.637663841247559,839.5243902439024,1.743137346373664,0.7677480313513014,0.22916789849599203,0.7462214082479477,4.992430099999183
16,0.0002583219603502897,1.7776050553089235,0.8083878435739656,0.2755973986009272,0.6936198156781312,4.444603431515578,11.970819473266602,842.109756097561,1.8554418219460382,0.7961023052533468,0.2404814271463288,0.8188580556048287,5.005113100000017
17,0.00025086589504429044,1.7300917738821449,0.8015792675134612,0.27822680008120654,0.6502857182810946,4.254351833971535,7.9678053855896,845.4878048780488,1.7505622373686895,0.7798878285619948,0.22726839615239036,0.7434060176213583,5.123890199996822
18,0.00024292572908586022,1.748762978286278,0.7990998007902285,0.2717035241970202,0.6779596503914856,4.1950678418322305,10.269956588745117,840.0853658536586,2.0909613503350153,0.7773035499784682,0.22700364722145927,1.0866541754868295,5.25708719999966
19,0.00023454014616540588,1.8509641144333817,0.7964597104526148,0.26059967424811387,0.7939047279154382,3.9692240546389326,12.425361633300781,844.7926829268292,1.4745647576120164,0.7573915753099654,0.23176075021425882,0.48541244119405746,5.209431700001005
20,0.00022574999999999996,1.6451304293260343,0.7949429466956999,0.2707285808353889,0.5794588916185426,3.751474848607691,5.905031204223633,837.7560975609756,1.5627108679877386,0.7608361211087968,0.21341268055968815,0.5884620828760995,5.074643400002969
21,0.00021659811529817796,1.6496692677823508,0.7995851461480303,0.25901497573387333,0.5910691484445478,3.704933829423858,8.100091934204102,842.3048780487804,1.4971236387888591,0.7700067030058967,0.2167555590470632,0.5103613759080569,4.998664600003394
22,0.00020712907912226296,1.8326002054098176,0.8005956927450691,0.25830960364603417,0.7736948993874759,3.9310848218638723,11.363807678222656,846.609756097561,1.5566810965538025,0.7635934617784288,0.21299823290771908,0.5800893869664934,5.195199000001594
