run_name,attribute,subgroup_code,subgroup_label,n,base_rate,selection_rate,auc_roc,ece,brier,tpr,fpr,calibrator,underpowered
seed_42,SEX,1,Male,1796,0.23942093541202672,0.13140311804008908,0.7698142599339439,0.011443238717809353,0.14533028422553632,0.36046511627906974,0.05929721815519766,platt,False
seed_42,SEX,2,Female,2704,0.20894970414201183,0.11168639053254438,0.780400236650159,0.011569110072753672,0.1275557878711208,0.368141592920354,0.04394576905095839,platt,False
seed_42,EDUCATION,1,Grad school,1610,0.19316770186335402,0.08633540372670807,0.7906700429962202,0.015100578041030266,0.12070831791032795,0.3183279742765273,0.030792917628945343,platt,False
seed_42,EDUCATION,2,University,2081,0.2340221047573282,0.14175876982220087,0.7818127011199596,0.015190997540929105,0.13756962759255087,0.406570841889117,0.06085319949811794,platt,False
seed_42,EDUCATION,3,High school,748,0.2580213903743315,0.13903743315508021,0.7185734957755684,0.04347109712954889,0.16238963174348026,0.34196891191709844,0.06846846846846846,platt,False
seed_42,EDUCATION,4,Other,61,0.06557377049180328,0.0,0.5921052631578947,0.03346209925114024,0.06284933561843103,0.0,0.0,platt,False
seed_42,MARRIAGE,1,Married,2074,0.23963355834136935,0.12825458052073288,0.7941153579689934,0.013787685138242196,0.13722180233206957,0.38028169014084506,0.04882688649334179,platt,False
seed_42,MARRIAGE,2,Single,2375,0.2054736842105263,0.1128421052631579,0.7604962122199345,0.020645201996527585,0.13234841973388714,0.35040983606557374,0.05140434552199258,platt,False
seed_42,MARRIAGE,3,Other,51,0.19607843137254902,0.0784313725490196,0.7097560975609756,0.08566360084295127,0.13722599937018853,0.3,0.024390243902439025,platt,False
seed_42_mtlm_finetune,SEX,1,Male,1796,0.23942093541202672,0.12583518930957685,0.7742279274064491,0.01342110733775886,0.14503726701693667,0.34651162790697676,0.05636896046852123,platt,False
seed_42_mtlm_finetune,SEX,2,Female,2704,0.20894970414201183,0.10465976331360946,0.7827973538209485,0.012766094562670208,0.1274768253237294,0.35221238938053095,0.03927068723702665,platt,False
seed_42_mtlm_finetune,EDUCATION,1,Grad school,1610,0.19316770186335402,0.08260869565217391,0.7942741015225663,0.006483381574378133,0.12059565583634708,0.3054662379421222,0.029253271747498075,platt,False
seed_42_mtlm_finetune,EDUCATION,2,University,2081,0.2340221047573282,0.13407015857760693,0.7862737318331835,0.016214574943067273,0.13725556613369264,0.3860369609856263,0.05708908406524467,platt,False
seed_42_mtlm_finetune,EDUCATION,3,High school,748,0.2580213903743315,0.12967914438502673,0.7203192830135836,0.03325164839622877,0.16228174258309874,0.33678756476683935,0.05765765765765766,platt,False
seed_42_mtlm_finetune,EDUCATION,4,Other,61,0.06557377049180328,0.0,0.4780701754385966,0.034933214172998155,0.06573253712936916,0.0,0.0,platt,False
seed_42_mtlm_finetune,MARRIAGE,1,Married,2074,0.23963355834136935,0.11957569913211186,0.7896995160563891,0.013096639684054855,0.13778606056987178,0.358148893360161,0.04438807863031072,platt,False
seed_42_mtlm_finetune,MARRIAGE,2,Single,2375,0.2054736842105263,0.10821052631578948,0.7702366059405596,0.014983173958605852,0.13165124950262583,0.3422131147540984,0.04769475357710652,platt,False
seed_42_mtlm_finetune,MARRIAGE,3,Other,51,0.19607843137254902,0.0784313725490196,0.7536585365853659,0.09218677559014804,0.13224039308102434,0.3,0.024390243902439025,platt,False
rf_tuned,SEX,1,Male,1796,0.23942093541202672,0.12305122494432072,0.7763049473935102,0.01634438475490213,0.14437756510776625,0.34186046511627904,0.05417276720351391,identity,False
rf_tuned,SEX,2,Female,2704,0.20894970414201183,0.10946745562130178,0.7903742961519526,0.013079598919383786,0.12618063164445792,0.36106194690265486,0.043010752688172046,identity,False
rf_tuned,EDUCATION,1,Grad school,1610,0.19316770186335402,0.07950310559006211,0.7973979489540557,0.0152296445639052,0.12039806169522356,0.29260450160771706,0.02848344880677444,identity,False
rf_tuned,EDUCATION,2,University,2081,0.2340221047573282,0.1355117731859683,0.7910477947333302,0.015945944812458503,0.1360655768403481,0.39630390143737165,0.055834378920953574,identity,False
rf_tuned,EDUCATION,3,High school,748,0.2580213903743315,0.13636363636363635,0.7402884750035009,0.030068173289876734,0.15847716189900388,0.34196891191709844,0.06486486486486487,identity,False
rf_tuned,EDUCATION,4,Other,61,0.06557377049180328,0.08196721311475409,0.5438596491228069,0.10980513032342568,0.08131595189562703,0.25,0.07017543859649122,identity,False
rf_tuned,MARRIAGE,1,Married,2074,0.23963355834136935,0.11668273866923819,0.7960610843245907,0.021971639209824784,0.1373580247471066,0.358148893360161,0.040583386176284084,identity,False
rf_tuned,MARRIAGE,2,Single,2375,0.2054736842105263,0.11368421052631579,0.7746585785399672,0.01576910623751189,0.13009970255150757,0.3483606557377049,0.052994170641229466,identity,False
rf_tuned,MARRIAGE,3,Other,51,0.19607843137254902,0.09803921568627451,0.8073170731707318,0.10594524384713638,0.12994505911436963,0.3,0.04878048780487805,identity,False
