epoch,lr,train_loss,train_aux_loss,grad_norm_mean,grad_norm_max,val_auc_roc,val_auc_pr,val_f1,val_accuracy,val_precision,val_recall,val_brier,val_ece,epoch_s
1,1.4999999999999999e-05,0.23574987403404565,,7.950087706247966,8.683588981628418,0.35099477415608715,0.16668271998231576,0.36260932944606417,0.22266666666666668,0.22145559759626085,1.0,0.5246204137802124,0.5781423363553153,4.380376300003263
2,2.9999999999999997e-05,0.16773945957790187,,5.878713272236012,7.701257228851318,0.3768312317651023,0.1751351384509862,0.2921739130434783,0.27644444444444444,0.18640776699029127,0.6753768844221105,0.32468700408935547,0.3657413591278924,3.9622721999985515
3,4.4999999999999996e-05,0.10591171424330016,,1.9068525588070904,3.746983528137207,0.5805493946193163,0.3075318546250917,0.2640099626400996,0.7373333333333333,0.3469721767594108,0.21306532663316582,0.2082914263010025,0.19536052341759205,3.892939799996384
4,5.9999999999999995e-05,0.08333180771197801,,0.8940202093418733,1.413488745689392,0.6741285600613625,0.43704063499850254,0.39527656929770044,0.7837777777777778,0.5179153094462541,0.31959798994974875,0.21039479970932007,0.2281941948632399,3.9048531000007642
5,7.5e-05,0.07347800817202639,,0.6091198821862539,0.9650852084159851,0.7058591101011477,0.47085593783909135,0.4591564335290977,0.7748888888888888,0.489749430523918,0.4321608040201005,0.21834127604961395,0.2508369069894155,3.98735509999824
6,8.999999999999999e-05,0.06868263789349133,,0.4519174904735,0.6234195232391357,0.7209688958343787,0.4885936608120409,0.48370136698212407,0.7817777777777778,0.5071664829106945,0.4623115577889447,0.2191823124885559,0.2551551520460182,4.126507500004664
7,0.00010499999999999999,0.06534550978261748,,0.3876986669169532,0.6517885327339172,0.7270849253399667,0.49656511912673656,0.49554896142433236,0.7733333333333333,0.4878286270691334,0.5035175879396985,0.22065414488315582,0.2603095071978039,3.9444083999987924
8,0.00011999999999999999,0.06289118620348566,,0.33811341446858867,0.5265430808067322,0.7387799195693159,0.5062246698882361,0.5076092292587138,0.7771111111111111,0.4961612284069098,0.5195979899497487,0.22210799157619476,0.2666896784537368,4.265523199996096
9,0.000135,0.06084767457695655,,0.2849172228648339,0.4541236162185669,0.740572907332669,0.5066377011424559,0.5076923076923077,0.7724444444444445,0.48663594470046084,0.5306532663316583,0.22027580440044403,0.2641773305303521,3.9790291000026627
10,0.00015,0.05880272797780273,,0.250830348443102,0.39066314697265625,0.7451736571588328,0.5106043341945045,0.5109489051094891,0.7617777777777778,0.4678362573099415,0.5628140703517588,0.2205941081047058,0.26478982535998025,4.019745600002352
11,0.000165,0.05773257799906495,,0.23318753143151602,0.3701038062572479,0.7478207012236647,0.5131553782086601,0.5127041742286751,0.7613333333333333,0.46732837055417703,0.5678391959798995,0.2182331681251526,0.2610935278236866,3.9015445000040927
12,0.00017999999999999998,0.05653604161408213,,0.2159546532748658,0.384591281414032,0.7504274582613496,0.5158410367606353,0.5208822149225716,0.7731111111111111,0.488556338028169,0.5577889447236181,0.21436959505081177,0.25522217972742184,4.279769300002954
13,0.000195,0.05557018357478542,,0.19615585172985806,0.2844509780406952,0.7554226195169859,0.5193206439817732,0.5290617848970252,0.7713333333333333,0.4857142857142857,0.5809045226130654,0.2154170721769333,0.25957527890470294,3.9444450000009965
14,0.00020999999999999998,0.055215823383610925,,0.18979877822193097,0.28318917751312256,0.7566263557444857,0.5208478508834719,0.5356976201586561,0.7788888888888889,0.5,0.5768844221105528,0.21101203560829163,0.2528142912122939,4.089806599993608
15,0.000225,0.05464609827340385,,0.17876647421975195,0.2593667209148407,0.7583688771962522,0.5222775064649328,0.533273782938812,0.7677777777777778,0.47990353697749194,0.6,0.2140059471130371,0.261209389951494,3.918401700000686
16,0.00023999999999999998,0.05401555899484658,,0.1598682338256895,0.23166565597057343,0.7589045082760448,0.5246580382110624,0.5349462365591398,0.7693333333333333,0.4826192400970089,0.6,0.21022912859916687,0.2550573621160454,4.769013700002688
17,0.00025499999999999996,0.05376278093935531,,0.15793014188975463,0.26989302039146423,0.7624801611481086,0.5299596654627172,0.5349354695149088,0.7677777777777778,0.48003194888178913,0.6040201005025125,0.2103721648454666,0.2569755275944869,4.127506599994376
18,0.00027,0.05312153324484825,,0.1484940877115285,0.25211599469184875,0.7613390776994817,0.5313507196924112,0.5366726296958855,0.7697777777777778,0.48348106365834004,0.6030150753768844,0.20738494396209717,0.2523657899697621,4.354213999999047
19,0.000285,0.05308106615219587,,0.14440832452641594,0.2566967308521271,0.7634100602871707,0.5348662622657788,0.5355239786856127,0.7675555555555555,0.4797136038186158,0.6060301507537689,0.20906195044517517,0.2564672574599584,3.94917390000046
20,0.0003,0.052411474379492395,,0.13452625109089744,0.17866301536560059,0.76362568907304,0.538650544238534,0.5363079615048119,0.7644444444444445,0.4748257164988381,0.6160804020100502,0.21138140559196472,0.26055451455050044,4.39356659999612
21,0.00029997738273072406,0.05230056351901573,,0.12952733600949062,0.17344990372657776,0.7639882723173643,0.5396021623042109,0.5356828193832599,0.7657777777777778,0.4768627450980392,0.6110552763819096,0.20811569690704346,0.25695917009645036,5.039530000001832
22,0.0002999095378123357,0.0524251158406705,,0.12004316221048802,0.183263897895813,0.7663514433795224,0.5442966246019383,0.5369545859305432,0.7688888888888888,0.48201438848920863,0.6060301507537689,0.20766404271125793,0.2559276274442673,4.103065499999502
23,0.00029979648591105414,0.05212976273011278,,0.11677575792059486,0.16758091747760773,0.7664330210252402,0.5460092603455552,0.5387682764731945,0.7686666666666667,0.48177496038034867,0.6110552763819096,0.2069803923368454,0.2561622988846567,3.8524531000002753
24,0.0002996382614635839,0.05180512382476418,,0.11349965411203879,0.18080997467041016,0.7671394060172474,0.5476742651486215,0.5400355871886121,0.7702222222222223,0.48443735035913804,0.6100502512562814,0.20709069073200226,0.2582826437950134,4.028178599997773
25,0.0002994349126666242,0.051773268545483364,,0.1127146061187909,0.16953636705875397,0.7678442139370175,0.5505868840755277,0.5385296722763507,0.7684444444444445,0.48139350752177357,0.6110552763819096,0.20831894874572754,0.25993476847145286,3.8479378999982146
26,0.00029918650146218856,0.05164174303228473,,0.10594754169384639,0.15459372103214264,0.7681818507659554,0.5533132840569693,0.5401069518716578,0.7706666666666667,0.4851881505204163,0.6090452261306533,0.20845721662044525,0.25950868549611833,4.242983099997218
27,0.0002988931035187363,0.0515885428973922,,0.10699829633957074,0.14364507794380188,0.7685501688184144,0.5552974968116262,0.5416854438936458,0.774,0.4910130718954248,0.6040201005025125,0.20830440521240234,0.2615724743405978,3.9710830000040005
28,0.0002985548082081232,0.05152733357232294,,0.1011296773766294,0.1401873528957367,0.7694344762328045,0.5557212441774602,0.5421412300683371,0.7766666666666666,0.49583333333333335,0.5979899497487438,0.20650827884674072,0.25893361118104724,4.078203199998825
29,0.00029817171857837797,0.05117468209362325,,0.100519701194616,0.13604450225830078,0.7683021383665833,0.5564609489684361,0.5411116214974736,0.778,0.4983079526226734,0.5919597989949749,0.20374161005020142,0.25476489952537745,3.9222898000007262
30,0.00029774395132231286,0.05115857242066183,,0.10151043129555973,0.17621532082557678,0.7687772672205536,0.5575034416557725,0.5419881979119383,0.7757777777777778,0.49420529801324503,0.6,0.20521703362464905,0.256169780380196,4.132764400004817
31,0.00029727163674197804,0.051116793151990865,,0.09679130244034308,0.1360897570848465,0.7700521150689252,0.5588667113108325,0.5421245421245421,0.7777777777777778,0.4978973927670311,0.5949748743718593,0.2068837434053421,0.2605095386041536,4.035719500003324
32,0.0002967549187089701,0.05110108645425902,,0.10014777694955285,0.16310258209705353,0.7699639423938524,0.5597894091312088,0.5440366972477064,0.7791111111111111,0.5004219409282701,0.5959798994974874,0.20680508017539978,0.2604806788563728,4.664017600000079
33,0.00029619395462060743,0.05089260219239894,,0.09863029953874188,0.16030088067054749,0.7703325471867181,0.5594667894294761,0.5444546287809349,0.7791111111111111,0.5004212299915753,0.5969849246231156,0.20447683334350586,0.2562700652546353,4.316029299996444
34,0.0002955889153519854,0.05074272070218016,,0.09554547439386815,0.16868506371974945,0.7706687503136223,0.5594366717459585,0.5453707968678029,0.7806666666666666,0.5034013605442177,0.5949748743718593,0.20559020340442657,0.25770171242290074,4.3056111999976565
