run,attribute,calibrator,subgroup_code,subgroup_label,ref_subgroup_label,n,selection_rate_diff,selection_rate_ratio,tpr_diff,fpr_diff,equal_opportunity_violation,equalised_odds_violation,demographic_parity_diff,auc_diff,ece_diff
rf_tuned,EDUCATION,identity,1,Grad school,University,1610,-0.056008667595906184,0.5866878111096427,-0.10369939982965459,-0.027350930114179134,0.10369939982965459,0.10369939982965459,-0.056008667595906184,0.00635015422072549,-0.0007163002485533025
rf_tuned,EDUCATION,identity,2,University,University,2081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_tuned,EDUCATION,identity,3,High school,University,748,0.0008518631776680552,1.0062862669245647,-0.054334989520273214,0.009030485943911294,0.054334989520273214,0.054334989520273214,0.0008518631776680552,-0.05075931972982928,0.01412222847741823
rf_tuned,EDUCATION,identity,4,Other,University,61,-0.053544560071214206,0.6048715265666782,-0.14630390143737165,0.01434105967553765,0.14630390143737165,0.14630390143737165,-0.053544560071214206,-0.24718814561052327,0.09385918551096717
rf_tuned,MARRIAGE,identity,1,Married,Single,2074,0.0029985281429223964,1.0263759419979286,0.009788237622456064,-0.012410784464945382,0.009788237622456064,0.012410784464945382,0.0029985281429223964,0.021402505784623438,0.006202532972312894
rf_tuned,MARRIAGE,identity,2,Single,Single,2375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_tuned,MARRIAGE,identity,3,Other,Single,51,-0.015644994840041282,0.8623819898329702,-0.04836065573770493,-0.004213682836351415,0.04836065573770493,0.04836065573770493,-0.015644994840041282,0.032658494630764534,0.0901761376096245
rf_tuned,SEX,identity,1,Male,Female,1796,0.01358376932301894,1.1240895684102812,-0.019201481786375818,0.011162014515341864,0.019201481786375818,0.019201481786375818,0.01358376932301894,-0.014069348758442457,0.0032647858355183447
rf_tuned,SEX,identity,2,Female,Female,2704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42,EDUCATION,platt,1,Grad school,University,1610,-0.055423366095492796,0.6090304242551847,-0.0882428676125897,-0.030060281869172596,0.0882428676125897,0.0882428676125897,-0.055423366095492796,0.008857341876260638,-9.04194998988389e-05
seed_42,EDUCATION,platt,2,University,University,2081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42,EDUCATION,platt,3,High school,University,748,-0.002721336667120655,0.9808030454092268,-0.06460192997201858,0.007615268970350524,0.06460192997201858,0.06460192997201858,-0.002721336667120655,-0.0632392053443912,0.028280099588619788
seed_42,EDUCATION,platt,4,Other,University,61,-0.14175876982220087,0.0,-0.406570841889117,-0.06085319949811794,0.406570841889117,0.406570841889117,-0.14175876982220087,-0.1897074379620649,0.018271101710211138
seed_42,MARRIAGE,platt,1,Married,Single,2074,0.015412475257574984,1.136584435584853,0.02987185407527132,-0.0025774590286507873,0.02987185407527132,0.02987185407527132,0.015412475257574984,0.03361914574905889,-0.006857516858285388
seed_42,MARRIAGE,platt,2,Single,Single,2375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42,MARRIAGE,platt,3,Other,Single,51,-0.03441073271413829,0.6950541410594088,-0.050409836065573754,-0.027014101619553553,0.050409836065573754,0.050409836065573754,-0.03441073271413829,-0.05074011465895889,0.06501839884642369
seed_42,SEX,platt,1,Male,Female,1796,0.019716727507544704,1.1765365270874202,-0.007676476641284236,0.015351449104239266,0.007676476641284236,0.015351449104239266,0.019716727507544704,-0.010585976716215084,-0.00012587135494431835
seed_42,SEX,platt,2,Female,Female,2704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42_mtlm_finetune,EDUCATION,platt,1,Grad school,University,1610,-0.05146146292543302,0.6161601994701573,-0.0805707230435041,-0.027835812317746594,0.0805707230435041,0.0805707230435041,-0.05146146292543302,0.00800036968938278,-0.00973119336868914
seed_42_mtlm_finetune,EDUCATION,platt,2,University,University,2081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42_mtlm_finetune,EDUCATION,platt,3,High school,University,748,-0.0043910141925802,0.9672483851800738,-0.049249396218786934,0.0005685735924129895,0.049249396218786934,0.049249396218786934,-0.0043910141925802,-0.06595444881959989,0.017037073453161494
seed_42_mtlm_finetune,EDUCATION,platt,4,Other,University,61,-0.13407015857760693,0.0,-0.3860369609856263,-0.05708908406524467,0.3860369609856263,0.3860369609856263,-0.13407015857760693,-0.3082035563945869,0.018718639229930882
seed_42_mtlm_finetune,MARRIAGE,platt,1,Married,Single,2074,0.011365172816322378,1.1050283480107612,0.0159357786060626,-0.003306674946795804,0.0159357786060626,0.0159357786060626,0.011365172816322378,0.019462910115829457,-0.001886534274550997
seed_42_mtlm_finetune,MARRIAGE,platt,2,Single,Single,2375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed_42_mtlm_finetune,MARRIAGE,platt,3,Other,Single,51,-0.029779153766769872,0.72480354009308,-0.04221311475409839,-0.023304509674667497,0.04221311475409839,0.04221311475409839,-0.029779153766769872,-0.016578069355193792,0.07720360163154219
seed_42_mtlm_finetune,SEX,platt,1,Male,Female,1796,0.02117542599596739,1.2023263317777237,-0.0057007614735541945,0.017098273231494585,0.0057007614735541945,0.017098273231494585,0.02117542599596739,-0.008569426414499426,0.0006550127750886529
seed_42_mtlm_finetune,SEX,platt,2,Female,Female,2704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
