signal,fraction_deferred,n_deferred,n_retained,accuracy_retained,auc_roc_retained,defer_accuracy,defer_positive_rate
predictive_entropy,0.0,0,4500,0.7506666666666667,0.778651889977706,,
predictive_entropy,0.05,225,4275,0.7609356725146199,0.7861374624975166,0.5555555555555556,0.19555555555555557
predictive_entropy,0.1,450,4050,0.7730864197530865,0.7938404698110981,0.5488888888888889,0.19777777777777777
predictive_entropy,0.15000000000000002,675,3825,0.781437908496732,0.8011567179435566,0.5762962962962963,0.20444444444444446
predictive_entropy,0.2,900,3600,0.7888888888888889,0.8084371445156882,0.5977777777777777,0.20444444444444446
predictive_entropy,0.25,1125,3375,0.7925925925925926,0.8161017369727048,0.6248888888888889,0.19555555555555557
predictive_entropy,0.30000000000000004,1350,3150,0.7961904761904762,0.8236131885466402,0.6444444444444445,0.1925925925925926
predictive_entropy,0.35000000000000003,1575,2925,0.8023931623931624,0.8308926510046679,0.6546031746031746,0.19301587301587303
predictive_entropy,0.4,1800,2700,0.8074074074074075,0.8377185537260227,0.6655555555555556,0.19444444444444445
predictive_entropy,0.45,2025,2475,0.8125252525252525,0.8441225457764029,0.6750617283950617,0.19407407407407407
predictive_entropy,0.5,2250,2250,0.8151111111111111,0.8504098016669044,0.6862222222222222,0.19066666666666668
predictive_entropy,0.55,2475,2025,0.8241975308641976,0.8559649772977661,0.6905050505050505,0.1874747474747475
predictive_entropy,0.6000000000000001,2700,1800,0.8238888888888889,0.8613291148014708,0.7018518518518518,0.1837037037037037
mutual_info,0.0,0,4500,0.7506666666666667,0.778651889977706,,
mutual_info,0.05,225,4275,0.7476023391812866,0.7605012421905555,0.8088888888888889,0.4311111111111111
mutual_info,0.1,450,4050,0.7441975308641975,0.7458979126824663,0.8088888888888889,0.3933333333333333
mutual_info,0.15000000000000002,675,3825,0.7403921568627451,0.7347343955330432,0.8088888888888889,0.35259259259259257
mutual_info,0.2,900,3600,0.7388888888888889,0.7264934810487319,0.7977777777777778,0.3322222222222222
mutual_info,0.25,1125,3375,0.7365925925925926,0.7135802469135802,0.7928888888888889,0.3244444444444444
mutual_info,0.30000000000000004,1350,3150,0.7346031746031746,0.7036143106735278,0.7881481481481482,0.30148148148148146
mutual_info,0.35000000000000003,1575,2925,0.7312820512820513,0.6918663771994672,0.7866666666666666,0.29079365079365077
mutual_info,0.4,1800,2700,0.7318518518518519,0.6887267230124372,0.7788888888888889,0.2777777777777778
mutual_info,0.45,2025,2475,0.730909090909091,0.6782452674897119,0.7748148148148148,0.2691358024691358
mutual_info,0.5,2250,2250,0.7302222222222222,0.6705503697012278,0.7711111111111111,0.26222222222222225
mutual_info,0.55,2475,2025,0.7318518518518519,0.6722394782557681,0.7660606060606061,0.25212121212121213
mutual_info,0.6000000000000001,2700,1800,0.7322222222222222,0.6630883963494133,0.762962962962963,0.24814814814814815
std,0.0,0,4500,0.7506666666666667,0.778651889977706,,
std,0.05,225,4275,0.7490058479532163,0.7662662982251867,0.7822222222222223,0.36444444444444446
std,0.1,450,4050,0.7449382716049383,0.7541896886193744,0.8022222222222222,0.3511111111111111
std,0.15000000000000002,675,3825,0.7430065359477124,0.7479687586755752,0.794074074074074,0.31703703703703706
std,0.2,900,3600,0.7427777777777778,0.7417816666312276,0.7822222222222223,0.30777777777777776
std,0.25,1125,3375,0.7404444444444445,0.7338372830854968,0.7813333333333333,0.28888888888888886
std,0.30000000000000004,1350,3150,0.7390476190476191,0.7258346263319598,0.7777777777777778,0.2822222222222222
std,0.35000000000000003,1575,2925,0.736068376068376,0.7151529923503823,0.7777777777777778,0.273015873015873
std,0.4,1800,2700,0.7348148148148148,0.7077289086913284,0.7744444444444445,0.265
std,0.45,2025,2475,0.7361616161616161,0.6986288260505845,0.7683950617283951,0.2632098765432099
std,0.5,2250,2250,0.7351111111111112,0.6870703704477549,0.7662222222222222,0.2564444444444444
std,0.55,2475,2025,0.7367901234567901,0.6850149221126757,0.762020202020202,0.2492929292929293
std,0.6000000000000001,2700,1800,0.7355555555555555,0.6749088799690081,0.7607407407407407,0.2437037037037037
