feature,gini_importance,perm_importance,perm_std
RECENT_DELAY,0.10003571492713367,0.00755877819912687,0.0020554225996617225
PAY_0,0.08870109929081564,0.005859425515595073,0.001454929116592149
MAX_DELAY,0.07264456297877984,0.0025392440089176517,0.0020475727712690353
AVG_PAY_AMT,0.02315666725123996,0.0020535344339385753,0.0007689754543032163
TOTAL_BILL,0.018398355600526873,0.0018836980910257538,0.0006882042131411518
N_MONTHS_DELAYED,0.07161677259924268,0.0017700055197528487,0.0021149226167640855
TOTAL_PAY,0.023243835889920874,0.001652599660212617,0.0010249915019969282
PAY_AMT1,0.019592125578444464,0.00144607488225722,0.00114023347770814
UTIL_RATIO_2,0.019293149500336615,0.001377070803374958,0.0006068291265506861
PAY_2,0.036499981749151984,0.0012616864637022384,0.0009180381184102559
BILL_SLOPE,0.017390883731270738,0.0011838364432719794,0.00034334722914909193
UTIL_RATIO_1,0.020317903486547842,0.0010991189901003006,0.0005674538968642413
REPAY_RATIO_2,0.01226869050509189,0.0009612398655187371,0.0006969889292512625
BILL_AMT1,0.01750760912126489,0.0009429458275686753,0.0005659055593488334
REPAY_RATIO_1,0.015481466558353415,0.0007672313063176173,0.0006035970364272728
UTIL_RATIO_5,0.013933574497848057,0.0007227435322117004,0.0003733418976744834
AVG_UTIL_RATIO,0.02088995431760592,0.0006611947039047328,0.00041842154947498275
PAY_AMT_VOLATILITY,0.016926821776965632,0.0005496956967433686,0.000243570527931173
AGE,0.012760395023593411,0.0005249930107025791,0.0003517257564992673
PAY_AMT6,0.011103069315469467,0.0004778815618749821,0.00024718625362455245
PAY_AMT3,0.01429622846939939,0.0004281177642850298,0.0005987452258077564
BILL_AMT4,0.011769792141231942,0.0003600886027856465,0.00036510655089585993
REPAY_RATIO_6,0.009830734561270683,0.00026780120287601684,0.0003144599265475779
PAY_3,0.032538630958947115,0.00025918465365342146,0.0013287387598146906
MARRIAGE,0.002510052880041848,0.000189033613144185,0.00011739668867127787
SEX,0.0023638971642196377,0.00017244568061418607,0.00014110050526993197
PAY_BILL_RATIO_TOTAL,0.02081899850169616,0.00010174983333212095,0.00035601217107591467
BILL_AMT2,0.014422756073161794,5.9469960358105034e-05,0.0005291902958447819
REPAY_RATIO_5,0.009981881750342135,5.6186782700962115e-05,0.00034826238714172515
DELAY_TREND,0.03015292844713621,5.402189263008506e-05,0.0004529672874664752
REPAY_RATIO_4,0.011935839196863177,3.0294123972207654e-05,0.000284021851795216
UTIL_RATIO_3,0.016252415942815367,-4.418669667880515e-05,0.0003806000849993232
BILL_AMT3,0.012361738963930705,-4.487487365500975e-05,0.0003000478936370524
PAY_5,0.019974094584975472,-5.382117434535871e-05,0.0006115791961629551
PAY_AMT4,0.010667385066781485,-7.165642764465075e-05,0.0004007238979355341
BILL_AMT5,0.0123422361075353,-9.843798163429174e-05,0.000294308523631652
PAY_AMT5,0.01112985624590992,-0.00011714779317415492,0.00029166592616016644
BILL_AMT6,0.011164420083413498,-0.0001321299794263653,0.00022369498520912135
UTIL_RATIO_6,0.012696112077149284,-0.0001531050401794909,0.00047433049048842854
LIMIT_BAL,0.019179806968283575,-0.0001828830314196117,0.0013162670880935677
REPAY_RATIO_3,0.01283883754660063,-0.00018341350117203614,0.0003496984657832825
N_MONTHS_NO_USE,0.0023001092951077146,-0.0002184245048351241,0.00024538284433386036
PAY_4,0.020721252790308647,-0.0002303672427759529,0.0009544400832952596
PAY_6,0.009506356497850595,-0.0002990989182718118,0.00014652983003920383
EDUCATION,0.003692183974694813,-0.00032666900837997616,0.00015496965131199235
PAY_AMT2,0.017787869838005756,-0.000611129828887691,0.0011604429007682092
UTIL_RATIO_4,0.015000950172723494,-0.0006359185370504172,0.00042091072634162544
