run,calibrator,auc_roc,ece_equal_width,ece_equal_mass,mce,brier,reliability,resolution,uncertainty,brier_skill_score,param_temperature,param_a,param_b
seed_42,identity,0.7771856429078345,0.2568716952138477,0.2568716952138477,0.30257706461605693,0.2081757192184642,0.07336537341342027,0.03622992804995253,0.17222098765432098,-0.21562671233778644,,,
seed_42,temperature,0.7771856429078345,0.2225218388810471,0.22252183888104712,0.3555939600120927,0.19069428937794766,0.056262636970945926,0.03750444408339754,0.17222098765432098,-0.10891932013071202,0.39992541428368167,,
seed_42,platt,0.7771856429078345,0.00991716836382256,0.01813879620329756,0.07386092217913365,0.13464978686057197,0.00025028354295831336,0.037242923402430385,0.17222098765432098,0.21479751314469908,,2.3714595681048545,-1.3344954691996906
seed_42,isotonic,0.7765907999340498,0.01465681016740874,0.01849795013240093,0.10811502170916854,0.13499376971314728,0.0005092052968659789,0.037202327929488826,0.17222098765432098,0.21305836839278064,,,
seed_1,identity,0.7816448863432712,0.2664011448555522,0.2594700390564071,0.313853947010385,0.21101851833481122,0.07646792791078413,0.03626926364047314,0.17222098765432098,-0.23341327220232336,,,
seed_1,temperature,0.7816448863432712,0.22246476778938376,0.2224647677893838,0.3694879350752392,0.18960497330856566,0.055876404275220705,0.03862319284903229,0.17222098765432098,-0.10018065545425141,0.3508045434457212,,
seed_1,platt,0.7816448863432712,0.008471285101436708,0.012472287362467036,0.10990956017884512,0.1341062322127391,0.00044041886228461614,0.03787949110061051,0.17222098765432098,0.21738971973307317,,2.6775241851768055,-1.3244487833761542
seed_1,isotonic,0.7811713345615382,0.020159584720580163,0.017022186793685144,0.41249135840685136,0.13539465539461396,0.0009914070224495608,0.037174454920356946,0.17222098765432098,0.21009662289554035,,,
seed_2,identity,0.7801482447902853,0.2556468800902367,0.25408423253562723,0.3027935891354818,0.2078333305367749,0.07259563649489528,0.0350804992736144,0.17222098765432098,-0.2178313905421366,,,
seed_2,temperature,0.7801482447902853,0.20737733162183392,0.20737733162183397,0.42226471659731263,0.18336189834606698,0.049720603976661774,0.0387681521097207,0.17222098765432098,-0.06359533768860187,0.34212889940393143,,
seed_2,platt,0.7801482447902853,0.013416625259918097,0.018840478572599205,0.1452784278618855,0.13437268083593112,0.0007296412239729863,0.037802162289482084,0.17222098765432098,0.21526134282727738,,2.577498345371683,-1.2665929263971407
seed_2,isotonic,0.7791111047391022,0.01226371286711285,0.013056035970553395,0.49999990000000005,0.1350006237306484,0.0010886214985510788,0.03800470932967465,0.17222098765432098,0.21435301430985237,,,
seed_42_mtlm_finetune,identity,0.7801079577631381,0.25577456461720993,0.25119133179055314,0.30018980820115815,0.2061316044861039,0.07152010732471535,0.03602259570260551,0.17222098765432098,-0.2061160611467392,,,
seed_42_mtlm_finetune,temperature,0.7801079577631381,0.1989946686603385,0.1989946686603385,0.3613177072547056,0.18047569867213442,0.04594452986336274,0.037460375151200855,0.17222098765432098,-0.049263186953678005,0.34091214502881945,,
seed_42_mtlm_finetune,platt,0.7801079577631381,0.007381406060724181,0.01265259973889359,0.19967469806319937,0.13448539271950724,0.0002813664635403188,0.037356641301548796,0.17222098765432098,0.21527733258866996,,2.526338603368249,-1.2366788862307334
seed_42_mtlm_finetune,isotonic,0.7802107541989548,0.013043244044265838,0.016189084971087876,0.33818697853383695,0.13452043035728564,0.000590890219311184,0.037369259883103786,0.17222098765432098,0.21355335470270045,,,
rf_tuned,identity,0.785213657445573,0.010312382868594601,0.008400801047682774,0.04247994449540099,0.1334432299778139,0.0002279830228625729,0.03787537616871883,0.17222098765432098,0.218599333673672,,,
