epoch,lr,train_loss,train_aux_loss,grad_norm_mean,grad_norm_max,val_auc_roc,val_auc_pr,val_f1,val_accuracy,val_precision,val_recall,val_brier,val_ece,epoch_s
1,1.4999999999999999e-05,0.10292186965177089,,1.8285820712277918,2.8278024196624756,0.6367685789862293,0.3833576199141143,0.38393574297188754,0.4886666666666667,0.26167883211678833,0.7206030150753768,0.24604134261608124,0.27790647540158697,4.213636499996937
2,2.9999999999999997e-05,0.07806452069385553,,0.6594509541252513,1.8406885862350464,0.7359409028021706,0.4927655965415881,0.5002328830926874,0.7615555555555555,0.4661458333333333,0.5396984924623116,0.21715056896209717,0.2525584337910016,3.9711155999975745
3,4.4999999999999996e-05,0.06553318135348367,,0.39600541819760826,0.6400367617607117,0.7536452591057999,0.5051572282634893,0.5293542074363993,0.7862222222222223,0.5157292659675882,0.5437185929648242,0.2142804116010666,0.25400927473439117,3.8478844000055688
4,5.9999999999999995e-05,0.060011940329899024,,0.28789155553152534,0.494628369808197,0.756055168854257,0.5155578314385098,0.5356050677151595,0.7637777777777778,0.47372488408037094,0.6160804020100502,0.21349486708641052,0.25590912648704317,4.171135199998389
5,7.5e-05,0.05698602338447983,,0.2242550756092425,0.3761211037635803,0.7581720299070245,0.5235017102721382,0.52428810720268,0.7475555555555555,0.44938980617372576,0.629145728643216,0.21416643261909485,0.25785212498241,4.098563600004127
6,8.999999999999999e-05,0.05527417347938926,,0.20533535344365203,0.3565365672111511,0.7609949892113921,0.5328080964575705,0.5249475890985325,0.7482222222222222,0.4503597122302158,0.629145728643216,0.21090690791606903,0.2547732988132371,4.353315300002578
7,0.00010499999999999999,0.054072227558971925,,0.16966036688766362,0.32192227244377136,0.7636467644929354,0.5408696052492532,0.5253032204098703,0.7477777777777778,0.4498567335243553,0.6311557788944724,0.21201147139072418,0.2576256472004784,4.264280000003055
8,0.00011999999999999999,0.05321025761005319,,0.1498716950048635,0.2489079087972641,0.7667333816013018,0.5489988215168864,0.5295608108108109,0.7524444444444445,0.45666423889293517,0.6301507537688442,0.20835943520069122,0.256012923055225,4.3050854000030085
9,0.000135,0.05268637067925783,,0.14303090202587623,0.2444297969341278,0.7679766880049319,0.5529372388885669,0.5296610169491526,0.7533333333333333,0.45787545787545786,0.628140703517588,0.21012236177921295,0.2600460821919971,4.041900099997292
10,0.00015,0.05227510861040634,,0.12833160759858142,0.2371959388256073,0.7689355479250748,0.5538604680504963,0.5335628227194492,0.7591111111111111,0.46651617757712566,0.6231155778894473,0.20745894312858582,0.257282287882434,4.157958799994958
11,0.000165,0.05190663761746736,,0.12343587937914295,0.15802405774593353,0.7692736148646226,0.5537747412901368,0.5491617580425917,0.7788888888888889,0.5,0.6090452261306533,0.20510976016521454,0.25437786302963894,3.9903515000041807
